Victims,Crime,City,Zip Code,Place,Latitude,Longitude,Police District Number,Location
1,Robbery,SILVER SPRING,20902,Street - Bus Stop,39.03627,-77.0499,4D,"(39.0363, -77.0499)"
1,All Other Offenses,DAMASCUS,20872,Parking Lot - Residential,39.27784,-77.2115,5D,"(39.2778, -77.2115)"
1,Driving Under the Influence,ROCKVILLE,20850,Street - In vehicle,39.08668764,-77.1447539,1D,"(39.0867, -77.1448)"
1,All Other Offenses,ROCKVILLE,20850,Street - Other,39.08668764,-77.1447539,1D,"(39.0867, -77.1448)"
1,Shoplifting,GERMANTOWN,20876,Retail - Department/Discount Store,39.1982954,-77.2448997,5D,"(39.1983, -77.2449)"
1,Forcible Rape,GAITHERSBURG,20879,Residence - Apartment/Condo,39.16819409,-77.17504902,6D,"(39.1682, -77.175)"
1,Prostitution,ROCKVILLE,20850,Retail - Salon/Spa,39.10344276,-77.15594063,1D,"(39.1034, -77.1559)"
1,Driving Under the Influence,ROCKVILLE,20850,Street - Other,39.08540686,-77.13623089,1D,"(39.0854, -77.1362)"
1,Driving Under the Influence,GAITHERSBURG,20878,Street - Commercial,39.13479138,-77.22573052,6D,"(39.1348, -77.2257)"
1,Fondling,SILVER SPRING,20906,Residence - Nursing Home,39.09352922,-77.06214322,4D,"(39.0935, -77.0621)"
1,Burglary/Breaking and Entering,BETHESDA,20816,Retail - Drug Store/Pharmacy,38.96562,-77.139,2D,"(38.9656, -77.139)"
1,Drug/Narcotic Violations,BETHESDA,20814,Street - In vehicle,39.0241663,-77.12475324,2D,"(39.0242, -77.1248)"
1,Drug/Narcotic Violations,BETHESDA,20814,Street - In vehicle,39.0241663,-77.12475324,2D,"(39.0242, -77.1248)"
1,Shoplifting,BETHESDA,20817,Retail - Mall,39.02207674,-77.14737627,2D,"(39.0221, -77.1474)"
1,Fondling,BETHESDA,20889,Hotel/Motel/Etc.,38.99957307,-77.09688532,2D,"(38.9996, -77.0969)"
1,Aggravated Assault,GAITHERSBURG,20877,Street - Residential,39.13976022,-77.19074974,6D,"(39.1398, -77.1907)"
1,All Other Offenses,GAITHERSBURG,20878,Other/Unknown,39.11304,-77.2363,1D,"(39.113, -77.2363)"
1,Shoplifting,ROCKVILLE,20850,Retail - Department/Discount Store,39.09205881,-77.15330513,1D,"(39.0921, -77.1533)"
1,Theft from Building,CHEVY CHASE,20815,Retail - Drug Store/Pharmacy,38.97995,-77.0713,2D,"(38.98, -77.0713)"
1,All other Larceny,SILVER SPRING,20906,Restaurant,39.05823,-77.0503,4D,"(39.0582, -77.0503)"
1,Theft From Motor Vehicle,SILVER SPRING,20904,Parking Lot - Commercial,39.08299,-76.9481,3D,"(39.083, -76.9481)"
1,Shoplifting,GAITHERSBURG,20877,Retail - Other,39.11349,-77.1873,6D,"(39.1135, -77.1873)"
1,All Other Offenses,SILVER SPRING,20910,Street - Other,38.99559,-77.0384,2D,"(38.9956, -77.0384)"
1,Forcible Rape,GERMANTOWN,20874,School/College - DO NOT USE,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
1,Forcible Sodomy,GERMANTOWN,20874,School/College - DO NOT USE,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
1,Sexual Assault With An Object,GERMANTOWN,20874,School/College - DO NOT USE,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
